"""255329_at""","""At4g04370"""
"""264684_at""","""At1g65590"""
"""246794_s_at""","""At5g27010"""
"""262609_at""","""At1g13930"""
"""251456_at""","""At3g60120"""
"""263219_at""","""At1g30600"""
"""251920_at""","""At3g53900"""
"""263320_at""","""At2g47180"""
"""261649_at""","""At1g27700"""
"""263303_at""","""At2g15240"""
"""247888_at""","""At5g57920"""
"""252363_at""","""At3g48460"""
"""245612_at""","""At4g14440"""
"""248177_at""","""At5g54630"""
"""249972_at""","""At5g19040"""
"""247714_at""","""At5g59340"""
"""250971_at""","""At5g02810"""
"""259166_at""","""At3g01670"""
"""246302_at""","""At3g51860"""
"""248591_at""","""At5g49650"""
"""267493_at""","""At2g30400"""
"""257690_at""","""At3g12830"""
"""266928_at""","""At2g45790"""
"""257401_at""","""At1g23550"""
"""256175_at""","""At1g51670"""
"""248131_at""","""At5g54830"""
"""245221_s_at""","""At1g59265"""
"""248609_at""","""At5g49440"""
"""251525_at""","""At3g59000"""
"""257148_at""","""At3g27240"""
"""251360_at""","""At3g61210"""
"""254706_at""","""At4g17950"""
"""245450_at""","""At4g16880"""
"""247083_at""","""At5g66290"""
"""257802_at""","""At3g18770"""
"""265083_at""","""At1g03820"""
"""257431_at""","""At2g36360"""
"""253959_at""","""At4g26410"""
"""252338_at""","""At3g48890"""
"""248514_s_at""","""At5g50510"""
"""258294_at""","""At3g23350"""
"""245759_at""","""At1g66900"""
"""250637_at""","""At5g07530"""
"""249307_s_at""","""At5g41370"""
"""251154_at""","""At3g63110"""
"""256319_at""","""At1g35910"""
"""267102_at""","""At2g41500"""
"""246365_at""","""At1g39750"""
"""259315_at""","""At3g01200"""
"""263737_at""","""At1g60010"""
"""254635_at""","""At4g18670"""
"""255210_at""","""At4g07600"""
"""256953_at""","""At3g29630"""
"""257184_at""","""At3g13090"""
"""265073_at""","""At1g55480"""
"""248221_at""","""At5g53530"""
"""266912_at""","""At2g45900"""
"""252867_at""","""At4g39870"""
"""259917_at""","""At1g72580"""
"""263213_at""","""At1g30560"""
"""262549_at""","""At1g31290"""
"""262198_at""","""At1g53830"""
"""246348_at""","""At3g56840"""
"""255642_at""","""At4g00820"""
"""259421_at""","""At1g13910"""
"""256060_at""","""At1g07050"""
"""258986_at""","""At3g08910"""
"""260716_at""","""At1g48130"""
"""260654_at""","""At1g19290"""
"""261542_at""","""At1g63560"""
"""266032_x_at""","""At2g05890"""
"""267148_at""","""At2g23470"""
"""251092_at""","""At5g01470"""
"""245967_at""","""At5g19800"""
"""263711_at""","""At2g20630"""
"""249633_at""","""At5g37180"""
"""249190_at""","""At5g42750"""
"""246240_at""","""At4g37130"""
"""259700_at""","""At1g68980"""
"""253005_at""","""At4g38100"""
"""266607_at""","""At2g46300"""
"""246633_at""","""At1g29720"""
"""255703_at""","""At4g00040"""
"""260276_at""","""At1g80450"""
"""250673_at""","""At5g07070"""
"""252001_at""","""At3g52750"""
"""264818_at""","""At1g03530"""
"""257323_at""","""orf294"""
"""254972_at""","""At4g10440"""
"""245686_at""","""At5g22060"""
"""254601_at""","""At4g19020"""
"""263741_at""","""At2g20620"""
"""245133_at""","""At2g45310"""
"""251008_at""","""At5g02710"""
"""265533_at""","""At2g11360"""
"""255402_at""","""At4g03205"""
"""247844_at""","""At5g58080"""
"""247589_at""","""At5g60690"""
"""250173_at""","""At5g14340"""
"""263532_s_at""","""At5g37350"""
"""251258_at""","""At3g62170"""
"""253219_at""","""At4g34990"""
"""259248_at""","""At3g07770"""
"""265171_at""","""At1g23790"""
"""260177_at""","""At1g70650"""
"""264462_at""","""At1g10200"""
"""252902_at""","""At4g39560"""
"""264344_at""","""At1g11910"""
"""265629_at""","""At2g27230"""
"""248182_at""","""At5g54030"""
"""248075_at""","""At5g55740"""
"""266466_at""","""At2g47790"""
"""257135_at""","""At3g12900"""
"""264219_at""","""At1g60420"""
"""253048_at""","""At4g37560"""
"""250082_at""","""At5g17200"""
"""252824_at""","""At4g40030"""
"""253458_at""","""At4g32070"""
"""253028_at""","""At4g38160"""
"""252293_at""","""At3g48990"""
"""256076_at""","""At1g18060"""
"""255245_at""","""At4g05630"""
"""264542_at""","""At1g55830"""
"""258567_at""","""At3g04080"""
"""255365_at""","""At4g04040"""
"""263182_at""","""At1g05575"""
"""250256_at""","""At5g13650"""
"""247895_at""","""At5g58010"""
"""254360_at""","""At4g22340"""
"""248495_at""","""At5g50780"""
"""252733_at""","""At3g43120"""
"""254263_at""","""At4g23493"""
"""255228_at""","""At4g05470"""
"""249598_at""","""At5g37970"""
"""250790_at""","""At5g05640"""
"""261782_at""","""At1g76110"""
"""256070_at""","""At1g13730"""
"""264598_at""","""At1g04610"""
"""253850_at""","""At4g28090"""
"""250258_at""","""At5g13790"""
"""249188_at""","""At5g42830"""
"""259440_at""","""At1g01550"""
"""249136_at""","""At5g43180"""
"""262062_s_at""","""At1g80260"""
"""265732_at""","""At2g01300"""
"""246627_s_at""","""At1g48860"""
"""267354_at""","""At2g39880"""
"""258075_at""","""At3g25900"""
"""249908_at""","""At5g22760"""
"""259487_at""","""At1g15720"""
"""253095_at""","""At4g37510"""
"""258972_at""","""At3g01920"""
"""254790_at""","""At4g12800"""
"""257927_at""","""At3g23240"""
"""256162_at""","""At1g55390"""
"""263274_at""","""At2g11520"""
"""258036_at""","""At3g21210"""
"""253825_at""","""At4g28025"""
"""248987_at""","""At5g45180"""
"""AFFX-DapX-5""","""AFFX-DapX-5_at"""
"""257308_at""","""At3g28120"""
"""250447_at""","""At5g10800"""
"""265967_at""","""At2g37450"""
"""245393_at""","""At4g16260"""
"""262584_at""","""At1g15440"""
"""251016_at""","""At5g02730"""
"""262242_at""","""At1g48360"""
"""250124_at""","""At5g16480"""
"""251616_at""","""At3g57990"""
"""265517_at""","""At2g06090"""
"""249536_at""","""At5g38760"""
"""251505_at""","""At3g59050"""
"""257851_at""","""At3g12940"""
"""246263_at""","""At1g31780"""
"""249242_at""","""At5g42250"""
"""259854_at""","""At1g72200"""
"""264075_at""","""At2g10850"""
"""263206_at""","""At1g10590"""
"""256549_at""","""At3g31310"""
"""259190_at""","""At3g01780"""
"""257676_at""","""At3g20320"""
"""250199_at""","""At5g14180"""
"""264134_at""","""At1g79070"""
"""250332_at""","""At5g11680"""
"""260853_at""","""At1g21950"""
"""266786_at""","""At2g28980"""
"""259160_at""","""At3g05410"""
"""246002_at""","""At5g20740"""
"""265906_at""","""At2g25565"""
"""252152_at""","""At3g51350"""
"""257171_at""","""At3g23760"""
"""255444_at""","""At4g02560"""
"""253487_at""","""At4g31700"""
"""252505_at""","""At3g46170"""
"""261636_at""","""At1g50110"""
"""258070_at""","""At3g26040"""
"""249576_at""","""At5g37690"""
"""257447_at""","""At2g04230"""
"""251923_at""","""At3g53880"""
"""250960_at""","""At5g02940"""
"""250365_at""","""At5g11410"""
"""258678_at""","""At3g08690"""
"""259169_at""","""At3g03520"""
"""261363_at""","""At1g41830"""
"""251764_at""","""At3g55830"""
"""250192_at""","""At5g14520"""
"""254513_at""","""At4g20240"""
"""253981_at""","""At4g26670"""
"""246077_at""","""At5g20420"""
"""266043_at""","""At2g07724"""
"""261560_at""","""At1g01710"""
"""253970_at""","""At4g26510"""
"""257422_at""","""At1g11940"""
"""253281_at""","""At4g34138"""
"""265332_at""","""At2g18410"""
"""262442_at""","""At1g47420"""
"""252988_at""","""At4g38410"""
"""264172_at""","""At1g02120"""
"""266136_at""","""At2g45060"""
"""261100_at""","""At1g63020"""
"""257541_at""","""At3g25950"""
"""258743_s_at""","""At3g05840"""
"""249995_at""","""At5g18610"""
"""246242_at""","""At4g36600"""
"""248184_at""","""At5g54050"""
"""266780_at""","""At2g29110"""
"""265362_at""","""At2g13210"""
"""263257_at""","""At1g10520"""
"""263970_at""","""At2g42850"""
"""264634_at""","""At1g65670"""
